make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
tvr 280,tvr,280,1 generation,1980,1986,coupe,2.8 at,,,2,4090,1727,1194,2388,,,,,,,,1440,1435,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,3997,273,188,4458
tvr 280,tvr,280,1 generation,1980,1986,coupe,2.8 mt,,,2,4090,1727,1194,2388,,,,,,,,1440,1435,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,3997,273,188,4458
tvr 280,tvr,280,1 generation,1980,1986,roadster,2.8 at,,,2,4064,1727,1194,2388,,,,,,,,1440,1435,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,3997,273,188,4458
tvr 400,tvr,400,1 generation,1988,1993,cabriolet,3.9 mt se,cabriolet,,2,4015,1730,1205,2385,1450,1480,1120,,150,,,,,,1425,,225,,,225,366,injector,,v-type,8,,gasoline,2,,94,71,,,3500,,,3947,272,5500,rear wheel drive,,5,9,manual,,,,,6,220,16,,92,10,double wishbone,disc,ventilated disc,double wishbone,,,,,,,,,,774,35,17,826
tvr 400,tvr,400,1 generation,1988,1993,cabriolet,4.4 mt 450 seac,cabriolet,,2,4015,1730,1205,2385,1450,1480,1130,,150,,,,,,1415,,225,,,225,421,injector,,v-type,8,,gasoline,2,,94,80,,,4000,,,4441,323,5700,rear wheel drive,,5,9,manual,,,,,4,250,16,,92,10,double wishbone,disc,ventilated disc,double wishbone,,,,,,,,,,774,35,17,826
tvr 400,tvr,400,1 generation,1988,1993,roadster,4.0 mt,,,2,4015,1730,1205,2385,,,1120,225/50/r15,,,,1480,1450,150,1425,,,,,225,366,distributed injection (multipoint),,v-type,8,"9,75",petrol,2,none,94,71,"front, longitudinal",,3500,200,,3947,272,5500,rear wheel drive,,5,,manual,,,,,6.5,220,16,,92,10,"independent, spring",disc,disc ventilated,"independent, spring",,s,great britain,2,,,,,,774,35,17,826
tvr 450,tvr,450,1 generation,1989,1993,roadster,4.4 mt,,,2,4015,1730,1205,2385,,,1130,"225/50/r16,",,,,1480,1450,150,1415,,,,,225,421,multi-point fuel injection,,v-type,8,"9,75",gasoline,2,none,94,80,"front, longitudinal",,4000,238,,4441,323,4000,rear wheel drive,,5,,manual,,,,,4.7,km/h,16,,92,10,"independent, spring",disc,ventilated disc,"independent, spring",,s,great britain,2,,,,,,200,6,0,206
tvr cerbera,tvr,cerbera,1 generation,1996,2000,coupe,4.0 mt,coupe,,4,4280,1865,1220,2566,1464,1470,1130,,130,,,,,,,,390,,,390,447,multi-point fuel injection,,inline,6,,gasoline,4,,96,92,,,5000,,,3966,350,6800,rear wheel drive,,5,,manual,15,,,65,4,273,,,95,,strut,ventilated disc,ventilated disc,strut,,,,,,,,,,11207,552,456,12215
tvr cerbera,tvr,cerbera,1 generation,1996,2000,coupe,4.2 mt,coupe,,4,4280,1865,1220,2566,1464,1470,1110,,130,,,,,,,,390,,,390,410,multi-point fuel injection,,v-type,8,,gasoline,2,,94,75,,,4500,,,4185,350,6500,rear wheel drive,,5,,manual,,,,65,4,258,,,95,,strut,disc,ventilated disc,strut,,,,,,,,,,11207,552,456,12215
tvr cerbera,tvr,cerbera,1 generation,1996,2000,coupe,4.5 mt,coupe,,4,4280,1860,1220,2565,1465,1470,1100,,130,,,,,,,,390,,,390,515,multi-point fuel injection,,v-type,8,,gasoline,2,,91,86,,,5500,,,4475,426,6750,rear wheel drive,,5,,manual,15,330|540,,65,3.9,314,20,,95,12,strut,ventilated disc,ventilated disc,strut,,,,,,,,,,11207,552,456,12215
tvr griffith,tvr,griffith,1 generation,1991,2002,cabriolet,4.0 mt,cabriolet,,2,3965,1800,1200,2285,1460,1460,1000,,140,,,,,,1200,,,,,,366,multi-point fuel injection,,v-type,8,,gasoline,2,,94,71,,,3500,,,3950,240,5250,rear wheel drive,,5,,manual,,340|570,,57,4,243,17,,92,10,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,cabriolet,4.3 mt,cabriolet,,2,3965,1800,1200,2285,1460,1460,1000,,140,,,,,,1200,,,,,,398,injector,,v-type,8,,gasoline,2,,94,71,,,4000,,,4275,280,5500,rear wheel drive,,5,,manual,,340|570,,57,4,253,17,,95,10,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,cabriolet,5.0 mt,cabriolet,,2,3965,1943,1200,2282,1460,1460,1060,,140,,,,,,1300,,,,,,434,multi-point fuel injection,,v-type,8,,gasoline,2,,94,90,,,4000,,,4997,326,5500,rear wheel drive,,5,,manual,,300|480,,57,4,269,19,,95,12,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,cabriolet,5.0 mt,cabriolet,,2,4050,1760,1180,2282,1460,1470,1060,,140,,,,,,1280,,310,,,310,481,multi-point fuel injection,,v-type,8,,gasoline,2,,94,90,,,3750,,,4997,340,5250,rear wheel drive,,5,,manual,,,,57,4,271,,,95,,wishbone,disc,ventilated disc,wishbone,,,,,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,roadster,4.0 mt,,,2,4050,1760,1180,2282,,,1000,205/55/r16  225/50/r16,,,,1470,1460,140,1200,,,,,310,366,distributed injection (multipoint),,v-type,8,"10,5",petrol,2,none,94,71,"front, longitudinal",,3500,177,,3947,240,5250,rear wheel drive,,5,,manual,,,,57,4.7,243,17,,92,10,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,roadster,4.3 mt,,,2,4050,1760,1180,2282,,,1000,205/55/r16  225/50/r16,,,,1470,1460,140,1200,,,,,310,398,distributed injection (multipoint),,v-type,8,"8,9",petrol,2,none,94,71,"front, longitudinal",,4000,206,,4275,280,5500,rear wheel drive,,5,,manual,,,,57,4.4,253,17,,95,10,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,roadster,5.0 mt,,,2,4050,1760,1180,2282,,,1060,235/50/r16,,,,1470,1460,140,1300,,,,,310,475,distributed injection (multipoint),,v-type,8,10,petrol,2,none,94,90,"front, longitudinal",,4000,240,,4997,326,5500,rear wheel drive,,5,,manual,,,,57,4.4,269,19,,95,12,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,14261,922,583,15766
tvr griffith,tvr,griffith,1 generation,1991,2002,roadster,5.0 mt,,,2,4050,1760,1180,2282,,,1060,,,,,1470,1460,,1280,,,,,310,481,distributed injection (multipoint),,v-type,8,"9,5",petrol,2,none,,,"front, longitudinal",,3750,250,,4997,340,5250,rear wheel drive,,5,,manual,,,,57,4.5,271,,,,,,disc,disc ventilated,"independent, spring",,s,great britain,2,,,,,,14261,922,583,15766
tvr sagaris,tvr,sagaris,1 generation,2004,2006,coupe,4.0 mt,,,4,4035,1895,1135,2361,,,,225/35/r18,,,,1620,1510,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,1161,69,37,1267
tvr tamora,tvr,tamora,1 generation,2002,2006,cabriolet,3.6 mt,cabriolet,,2,3925,1715,1204,2361,1445,1470,1060,,102,,,,,,,,,,,,290,injector,,v-type,6,,gasoline,4,,,,,,5500,,,3605,360,7200,rear wheel drive,,5,,manual,16,,,,4.4,280,19,,95,13,wishbone,disc,ventilated disc,wishbone,,,,,,,,,,2047,207,113,2367
tvr tamora,tvr,tamora,1 generation,2002,2006,roadster,3.6 mt,,,2,3925,1715,1204,2361,,,,225/50/r16,,,,1492,1448,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,2047,207,113,2367
tvr tasmin,tvr,tasmin,1 generation,1980,1987,cabriolet,2.0 mt,,,2,4013,1727,1194,2388,,,,,,,,1440,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,2946,133,43,3122
tvr tasmin,tvr,tasmin,1 generation,1980,1987,cabriolet,2.8 at,,,2,4013,1727,1194,2388,,,,,,,,1440,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,2946,133,43,3122
tvr tasmin,tvr,tasmin,1 generation,1980,1987,cabriolet,2.8 mt,,,2,4013,1727,1194,2388,,,,,,,,1440,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,2946,133,43,3122
tvr tasmin,tvr,tasmin,1 generation,1980,1987,coupe,2.0 mt,,,2,4013,1727,1194,2388,,,,,,,,1440,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,2946,133,43,3122
tvr tasmin,tvr,tasmin,1 generation,1980,1987,coupe,2.8 at,,,2,4013,1727,1194,2388,,,,,,,,1440,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,2946,133,43,3122
tvr tasmin,tvr,tasmin,1 generation,1980,1987,coupe,2.8 mt,,,2,4013,1727,1194,2388,,,,,,,,1440,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,2946,133,43,3122
tvr tuscan,tvr,tuscan,1 generation,1999,2006,coupe,3.6 mt,coupe,,2,4235,1810,1200,2360,1445,1500,,,,,,,,,,,275,,,275,393,multi-point fuel injection,,inline,6,,gasoline,4,,,,,,5750,,,3605,355,7500,rear wheel drive,,5,,manual,,340|460,,65,4.2,290,19,,95,14,"independent, double wishbone, stabilizer bar",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,12192,861,451,13504
tvr tuscan,tvr,tuscan,1 generation,1999,2006,coupe,4.0 mt,coupe,,2,4235,1810,1200,2360,1445,1500,1100,,,,,,,,,,275,,,275,420,multi-point fuel injection,,inline,6,,gasoline,4,,96,92,,,5250,,,3996,396,7000,rear wheel drive,,5,,manual,17.5,330|430,,65,3.9,314,20,,98,15,"independent, double wishbone, stabilizer bar",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,12192,861,451,13504
tvr tuscan,tvr,tuscan,1 generation,1999,2006,roadster,4.0 mt,,,2,4235,1810,1200,2360,,,1100,225/35/r18,,,,1500,1445,102,,,,,,275,420,multi-point fuel injection,,inline,6,"11,1",gasoline,4,none,96,92,"front, longitudinal",,5250,291,,3996,396,5250,rear wheel drive,,5,,manual,,,,65,3.9,km/h,20,,98,15,"independent, spring",ventilated disc,ventilated disc,"independent, spring",,s,great britain,2,,,,,,12192,861,451,13504